lr_inference,lr_weights,inference_steps,epoch,test_acc
0.05,0.0001,10,15,0.7
0.05,0.0001,20,15,0.717
0.05,0.0001,50,15,0.783
0.05,0.0005,10,15,0.718
0.05,0.0005,20,15,0.765
0.05,0.0005,50,15,0.777
0.05,0.001,10,15,0.737
0.05,0.001,20,15,0.769
0.05,0.001,50,15,0.754
0.1,0.0001,10,15,0.728
0.1,0.0001,20,15,0.729
0.1,0.0001,50,15,0.798
0.1,0.0005,10,15,0.731
0.1,0.0005,20,15,0.786
0.1,0.0005,50,15,0.761
0.1,0.001,10,15,0.738
0.1,0.001,20,15,0.762
0.1,0.001,50,15,0.726
0.2,0.0001,10,15,0.761
0.2,0.0001,20,15,0.746
0.2,0.0001,50,15,0.775
0.2,0.0005,10,15,0.736
0.2,0.0005,20,15,0.74
0.2,0.0005,50,15,0.719
0.2,0.001,10,15,0.713
0.2,0.001,20,15,0.673
0.2,0.001,50,15,0.696
